Masked Well Name,Fuel Type,Fuel Value,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100
Richmond 5H,Grid,1809635.1949027258,1889529.9948145137,1924349.0000000359,0.0,1899956.4302361603,1809447.6213135098,1883866.7083164502,1912113.824897649,1863945.9999999881,0.0,1512847.1537473272,1883866.7083164502,0.0,1863945.9999999881,1147979.1990252903,1863945.9999999881,1832736.9067521081,1782078.219777121,0.0,0.0,1349297.6221963773,1863945.9999999881,1743646.3018589064,1740320.9705042215,0.0,1468674.711105976,1768257.4795083364,0.0,1883866.7083164502,1850409.3804316856,1771290.7719898736,1781195.5715159695,1784150.2867790835,1904000.2834391152,1764974.5555020035,1909067.2036846306,1817210.884712251,0.0,1769957.573700242,1672680.8641292264,1843074.484476739,1819833.7379654662,1805754.170219289,1868400.3011046313,0.0,1792101.331811601,1825403.2932459163,1528760.5909676168,1804017.70871267,1863945.9999999881,0.0,1863945.9999999881,1767002.3716135633,1559196.7221213023,1844550.747382871,1883866.7083164502,1418748.7476037655,1904000.2834391152,1878866.663296683,0.0,1902340.2386485287,0.0,1783251.422367568,1924349.0000000359,1810194.5137178076,0.0,1924349.0000000359,1878866.663296683,1443381.4702884334,1761999.207970156,1706202.3228853974,1772694.145933338,1880596.3849089714,1924349.0000000359,1836040.0026656492,1883866.7083164502,1776164.4761959591,1816508.1941280628,1863945.9999999881,1909067.2036846306,1899956.4302361603,1889233.4361267127,1867134.9695664644,1884289.3527599326,1884091.4460336806,1883866.7083164502,1883866.7083164502,1747726.6783054024,1444599.407482211,1789722.873227199,1893906.7459291255,1863945.9999999881,1819746.0270138804,1802472.9076918154,0.0,1863945.9999999881,1815507.7268073966,1511602.1172833764,0.0,1904756.440805144,1904000.2834391152
Mecosta 3H,Grid,1301556.7661495307,0.0,0.0,0.0,0.0,1199319.095626903,0.0,0.0,1196727.3424611248,0.0,0.0,0.0,0.0,0.0,0.0,1559704.0512472016,1299194.82993275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282068.318558058,0.0,0.0,0.0,0.0,1238301.094466508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279868.4313147264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322786.6233339743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340204.241057765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. John the Baptist 4H,Grid,1145384.129690679,1177300.8408578543,1013094.8373746928,0.0,1076573.3199502768,1020722.1706432517,0.0,1207218.8238534294,1037733.9626905514,0.0,1149730.7994306649,1204120.8172517158,0.0,1089818.5797802082,1106643.6873530776,1077935.5830331598,1173456.9819635283,1237612.7122707064,0.0,0.0,1178290.0905789684,0.0,0.0,995612.9407633796,0.0,1159444.6905405486,1275453.1181960667,0.0,1195661.3663615144,1052751.9196849926,1036879.7465213146,1141671.9644340998,1004148.7302286318,1162372.9209343642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210582.4538815748,0.0,0.0,0.0,1127499.3133817564,1231740.3203737447,0.0,1208933.4357540612,0.0,0.0,0.0,0.0,0.0,1198786.1490070855,1059048.1754773192,1069796.1387990117,1127410.8892051897,0.0,0.0,0.0,0.0,1027749.3227898543,0.0,0.0,0.0,0.0,1165372.6139383342,0.0,0.0,1070646.634425791,0.0,0.0,1095698.457007511,1236411.7541707838,0.0,1167118.6183620042,0.0,1166470.200952302,0.0,1036021.0206751915,1227553.6525118875,1050863.9894157245,0.0,0.0,1181801.6725780459,0.0,1120954.9479335893,1178108.504740365,1048095.8882171287,1030530.77919376,0.0,0.0,0.0,0.0,1261433.1510191502,1120920.7472103664,0.0,0.0,1177777.0876005953,0.0
Owyhee 1H,Grid,2564869.205844966,2561123.5028514913,2551791.5020220904,2561123.5028514913,2568620.3863899373,1202771.731978269,2537857.210642548,2564869.205844966,2551791.5020220904,0.0,2490954.8879999244,2564869.205844966,0.0,0.0,2496366.300496886,2485790.8365447037,2551791.5020220904,2523999.0000000466,0.0,0.0,2523999.0000000466,2523201.9851150094,2542493.5004414576,2568620.3863899373,0.0,2523999.0000000466,2523999.0000000466,0.0,2561123.5028514913,2542493.5004414576,2535912.5581889693,2523999.0000000466,2523999.0000000466,2561123.5028514913,2535079.4953805474,2242547.525544121,2537857.210642548,2564869.205844966,0.0,2551791.5020220904,0.0,2579889.999999979,2485641.2338208356,2564869.205844966,0.0,2564869.205844966,2523999.0000000466,2542493.5004414576,2542493.5004414576,0.0,0.0,2568620.3863899373,2583663.1462938795,2542493.5004414576,2579889.999999979,2568620.3863899373,2489409.0141897616,2551791.5020220904,2561123.5028514913,0.0,2532772.8823376284,2573298.580185528,2519768.1011310504,0.0,2489333.9775035884,0.0,2557391.632550402,2579889.999999979,2518764.456571631,2556481.343184894,2579889.999999979,0.0,0.0,2585551.788067871,1078796.5337087743,2276679.085903867,2564869.205844966,0.0,2501737.0899354573,2416859.3443402178,2264311.978203615,2489738.543790731,2579889.999999979,2568613.6665032906,2587441.810270891,2501792.9655897967,2579889.999999979,2297419.6447081356,2535079.4953805474,2537857.210642548,2542493.5004414576,2524029.8055319926,2583663.1462938795,2523999.0000000466,2542493.5004414576,2337103.6258775014,2542493.5004414576,0.0,0.0,2564869.205844966,2583663.1462938795
Pinellas 2H,Grid,1176013.6311048272,1150840.653184634,1209759.1306585171,0.0,1210521.998942571,1258751.2768309913,1198084.488521894,1204199.659541773,1249710.5976658224,0.0,1165127.413799194,1334253.4089350044,0.0,1448596.20620941,1263593.4429361362,1233928.796455595,1117839.2483017845,1274148.0538954197,0.0,0.0,1110565.6326852643,1100504.608904877,1133134.929359088,0.0,1162946.9974874856,1091209.9704702669,1106790.1167197325,0.0,1162454.6114473937,1174403.509227417,1162765.832942829,1223019.1889145933,1109244.2002267893,1269976.0927863976,1157009.7017663438,0.0,1180541.7107557605,0.0,0.0,0.0,0.0,1129265.9550067731,1311671.885987363,0.0,1259104.5880145398,1235064.5903283132,1301386.0209188962,1063638.6626412666,1249173.121577076,1130914.3630166263,0.0,1272672.653289479,0.0,1195884.45818615,1330249.790989214,1277167.428851939,1107374.3211366588,1306346.0750684305,1191913.4167180543,0.0,0.0,0.0,1075287.511042689,0.0,1173095.418359005,0.0,0.0,1291479.3627568334,0.0,1138194.4045869836,1284453.4245784362,1221699.6242470483,0.0,1237714.3306672673,1278632.3272970587,1283646.6353212076,1275915.4049467165,1272769.6614361429,1229517.5079470149,1240678.5698907855,1233758.034765945,1199985.0407524416,1213632.241489476,0.0,1115473.902319627,1254374.4226247515,1192651.044294745,1111895.5451344661,1288649.5549260192,1275912.8986070782,1121453.291033335,1130375.7274808877,1254014.0697581342,1228317.1557182355,0.0,1367207.0611358867,1111012.981578812,1037561.8474211891,0.0,1219657.178942156,1214327.2994705332
Pinellas 6H,Grid,1188966.188262845,1189238.5246576227,1034645.7197299314,1291407.9558320874,1293260.2932650154,1032730.6548994498,1133109.2798687036,1017300.4689725144,1258742.4629626602,0.0,1183939.327711466,1281807.1997436907,0.0,1353255.3373503527,968662.8834010046,1132943.6312239615,1071026.0217325587,1058930.3348572918,0.0,0.0,1176029.7631244517,1390289.9999999842,0.0,1390289.9999999842,1183222.5306200157,961469.2201970877,1390289.9999999842,0.0,989022.5731379413,1265901.303157669,1192482.170656486,1136623.8095229906,987154.8714023234,1143201.0952549153,0.0,0.0,1009291.57450111,0.0,0.0,1348914.0439974763,1170932.9538155932,1138209.0367211613,1334308.5716086377,0.0,0.0,1359804.5003096936,1361158.4133432398,0.0,1189126.6655773884,1055166.8667418796,0.0,1193138.387593664,0.0,1152094.0836700134,1232615.9746172978,1374731.8746343849,1320201.2733866607,1390289.9999999842,1285730.9660119666,0.0,1357666.960708247,0.0,1239605.3822924,0.0,1046475.0162087899,0.0,1254376.2249821413,1354258.971652674,0.0,1018841.611076864,1328074.695952291,1377987.6952085532,0.0,1382421.1306756104,1200213.4186307702,1034112.8572304276,1100058.5965239329,1128952.1186776075,1333623.8701228152,1369005.9545790863,1364707.3919336083,1172377.761947751,1371441.7073335794,0.0,1201553.4623055009,1180983.614810344,1220091.5205658188,1199293.7021265987,1004321.8274508977,1321946.1439354036,1325729.3370299283,1003287.951821792,1234765.912581632,964608.0155695262,0.0,1383813.5456820058,1357874.2558021185,1382627.1117666704,0.0,1160411.5725998413,0.0
Buchanan 6H,DGB_CNG,7474.160000000005,6071.680824587571,6865.980336429531,6704.717608680991,6203.32738597348,7115.40874342368,6657.621981263475,6461.215528224516,6321.135583818332,6378.042883527963,7796.377159289111,6170.201335554605,5281.246994166982,5674.004063181271,5675.103972203885,4511.204953925996,6226.381678127945,6259.9854278129105,6212.809438317121,5577.03070118899,6329.084015646109,5879.328814806195,5999.457400522887,5788.326470714829,5764.340306569354,6171.814690396955,6676.35650819192,5358.964494573364,5843.405339530855,5691.466004616461,5372.0140763397585,5307.107690077168,5813.428807568082,6603.154340896007,6160.379943830845,6198.024504265214,6073.162868853358,6772.510977829301,7301.778498144348,5995.109711830333,6151.1871438381195,5728.0148029469765,5623.906676060633,5164.767100204626,5717.430972631264,5653.638751707721,7241.184939597917,7201.983555370641,5842.488962229858,5271.42078692283,6474.674553230431,5616.244900786978,5860.289437286665,5106.680575981217,6360.85933045325,6467.615883667033,5064.225182007445,5888.418704150887,6498.864263177053,6108.258544216583,5190.909838276761,6254.655804567095,6639.830386342217,4843.582764757307,6638.328550802166,5619.206039291541,5756.984189166034,5550.130641887694,6861.004865067952,5864.601913069145,7610.965916287169,6459.750335615819,6175.547128899354,6011.880349261246,7213.178069856107,6365.853900134892,5757.549252929431,5924.941251483429,5700.404176212845,6279.789353520696,4857.696579999733,7156.14644431399,6376.318667265163,5452.287526501015,6050.8879401664835,5781.986437349509,5088.619184610199,6181.39360262348,7842.705945515209,6030.99613530041,5519.297648269708,6209.756368202051,5694.9778085773005,5921.80221513001,5764.079949735841,6247.293663737552,5773.347330794414,6278.3068636447215,6579.98105556712,6843.985592222741,6083.370640907632
Yabucoa 1H,Turbine,8780.139999999994,7636.560305690731,10374.517816064745,7700.276032204501,13078.030035404314,6972.819022572504,8215.26241704125,8021.510663476238,7841.453569903073,8322.770906336635,8449.289933060421,13401.643062684896,7942.684327087239,8145.726614221551,8199.060420884416,8560.646558876435,8530.510145441118,7564.587565010888,6872.991922820578,8262.368506998835,8553.89883625626,12907.915116851867,8295.05139823612,7150.3178029271985,7541.505513237293,8272.36797418601,8487.876462554681,7040.571744561,7854.592874593385,8693.935178847256,7828.457744860134,10214.849070372482,7207.276254624202,11647.513316384686,8965.043155866924,7137.666536713349,13770.152725908802,8607.48173334626,9525.527053847092,8428.633030479865,11830.680276223522,7913.3949083502,7706.123121832695,7441.875594451175,7497.525943813344,10024.13051929923,8033.070326002361,9300.136950690385,13685.158646000746,10470.93553926824,9551.820540513629,8305.803415579363,9324.208919176595,8403.093954349717,13678.631634484977,8032.413969662642,8415.017399737078,7446.237303040252,7977.538436943023,9095.934580418469,7915.939076970534,9029.799366686084,10870.018416283358,6798.50817895324,7714.192810482164,9430.904733587546,7943.567413029024,7562.50875501153,7129.811965474185,9002.002096828362,7229.50200285079,7712.601160264801,7588.788325402081,7831.704894747073,7670.696352122038,7962.245058427284,8241.660758413524,11301.657206774364,8455.296794227534,7237.0561553377665,8915.707240467553,8558.313263924701,6467.666363941617,8193.306751284941,7655.5610519717375,9592.905288106733,7219.546761542671,8243.017248770619,7698.466297556471,7741.366514253212,7566.806409050361,8947.1293571065,8604.105324072736,7551.235958626863,12070.51491780474,11006.01966284548,9217.366022950657,7255.405099866849,8596.706369104224,8462.104332861378,10625.790896949418
Queen Anne's 1H,DGB_CNG,10201.98,7810.158479511635,9186.343067779784,8991.23996605262,8042.368148515866,7273.24346584705,9237.775589693429,8360.526706228613,8105.745022644049,9691.983981012085,7608.142373917937,8536.800626035661,7568.884345359495,7999.710959927517,7938.262706305737,7989.872454427616,7259.484932422712,7877.1919975787,7528.729218655057,6606.055553065978,8146.795880106982,7679.147547505941,7282.413605729881,7203.713802247107,8513.04716632998,7324.547208167476,7289.972399606682,8663.620198755849,7149.527755546884,8050.758246986782,7295.784039661528,9289.682236381712,8637.20334144312,8344.452448632324,7776.194684459493,7462.572890776143,7210.405998136923,7159.4703988167985,8454.497570787511,8627.247588086093,7298.998880921743,9001.353258442268,7824.595466232267,8629.16624572773,7792.255454901006,8051.412365746057,7239.738493900561,8339.574061764266,7984.762539260938,7515.541093529339,7916.725895762777,8425.09252541445,8413.058668622994,9250.2449521378,7600.155255890048,7070.795846999571,8398.755392144001,10717.373866562784,8644.290849722198,8177.352530970553,9007.385353142408,7924.922075743125,7416.531257884691,8105.566037537156,7408.71186482091,10323.587450980876,7177.759368374683,7492.059853769581,8842.579948560666,8820.949831018428,10762.896600694068,7493.975494696995,7825.568222394344,7193.3437790371345,7863.422357965368,8690.426827543033,8011.965581991293,8009.361420696398,8509.646146567966,7690.335252568975,6487.602000159157,7981.502882539772,7996.872513152399,8302.081055250796,7663.962925624916,9698.280260876469,8017.659495851512,8200.36076811933,7483.316444760713,9033.738254094342,8398.539705434057,8121.9496019902335,7615.576884898468,7351.35570845945,6738.504853224061,8674.56413364566,8121.362895913589,7966.366982188282,9108.512464888496,7455.999951651944,7310.728934088369
De Soto 3H,Turbine,12805.41,13355.754274367411,12499.768810509897,13730.35288310069,13784.4142918437,11570.29196497281,11537.151958098731,14937.86708128336,11311.80913444303,13288.93888083281,15333.772263150446,12530.545051097672,13620.881769684867,13251.577335451031,21231.92353435235,10908.796842958976,12231.380916387518,11503.529370334234,11821.236360153724,12930.370769587047,12851.556508281026,11430.50322828964,11909.34102699284,12021.521778421107,12098.88912480941,11681.30038556161,15369.017422025294,12858.77975602795,12090.644470834335,11506.450696445803,11001.458412534876,11814.182565333784,11214.986547302457,13234.878764221929,11325.800276127567,12912.79213501884,11956.917937174949,12313.496596290624,13082.34124752948,11465.983114154234,11934.102167930218,12097.84485010931,9520.822518604724,11794.414599868198,11786.70773700216,18180.963366646505,15985.24802403853,12754.116965856429,11912.573898052333,12039.111366783203,13564.4968817975,12224.392707435174,12320.93363248792,14701.917241095198,11775.241991250608,12228.86050213238,11252.777513966748,12209.53805174074,12159.834811978397,11667.891320790735,11330.454670729036,12343.495658794029,11769.304482699115,12633.4978065863,14767.966685461108,14966.818757225676,12118.983333129512,11660.482497152532,10959.53767611269,10672.459307006371,15902.021510152705,11767.659047163172,12052.00161610089,11557.075531665796,15130.25670190892,13844.337884931923,12459.760921295318,13077.547216076877,10462.20739989408,12175.822204098318,11804.87798878691,11762.42785834612,11652.116336502364,12344.491795396349,11713.218498012737,11728.214719129222,11877.999392127467,12545.65970247503,11537.963423861149,11302.741761559788,11818.387526236798,15339.329438716424,10875.70322810028,11737.037212703895,11923.871206828398,12260.72428695458,12345.141591741803,11686.401565624594,11428.571520686326,11611.86774510426,12504.614862615468
